     branch_id	        origin	   termination	    species_id	        regime	   start_trait	     end_trait
          b119	         29.67	          0.00	       fish_18	             9	         24.16	         15.19
          b120	         13.40	          7.67	       unknown	             8	         39.31	         50.53
          b121	         13.40	         10.40	       unknown	             8	         39.31	         39.42
          b122	          7.67	          5.22	       unknown	             8	         50.53	         49.28
          b123	          7.67	          3.35	       unknown	             8	         50.53	         57.80
          b124	         10.40	          0.00	        fish_5	             8	         39.42	         33.87
          b125	         10.40	          0.00	        fish_6	             8	         39.42	         40.26
          b126	          5.22	          0.00	        fish_1	             8	         49.28	         44.60
          b127	          5.22	          0.00	        fish_2	             8	         49.28	         45.98
          b128	          3.35	          0.00	        fish_7	             8	         57.80	         40.10
          b129	          3.35	          0.00	       fish_97	             8	         57.80	         84.49
